107.09.11,SK2,荸薺-加工,104,台北二,65,65,65,65,76
107.09.11,SL1,豆薯,104,台北二,15,8.5,4.8,9.1,1345
107.09.11,SM1,牛蒡,104,台北二,25,25,25,25,100
107.09.11,SM9,牛蒡-進口,104,台北二,36.4,30.7,30,31.7,350
107.09.11,SN1,蓮藕,104,台北二,50,26.5,3,26.5,1436
107.09.11,SN2,蓮藕-蓮子,104,台北二,300,300,300,300,15
107.09.11,SO0,甘薯-其他,104,台北二,18,11.1,5.4,11.3,600
107.09.11,SO1,甘薯-改良種,104,台北二,30.8,12.4,5.7,14.7,2223
107.09.11,SO2,甘薯-芋仔甘藷,104,台北二,10,9.4,8,9.2,325
107.09.11,SO3,甘藷-臺農66號,104,台北二,19.9,6,4.8,8.6,7600
107.09.11,SP1,薑-老薑,104,台北二,94.3,75.3,32.5,70.5,1390
107.09.11,SP2,薑-嫩薑,104,台北二,70.8,54.5,29.1,52.7,1710
107.09.11,SP3,薑-粉薑,104,台北二,30,25.2,20,25.1,350
107.09.11,SQ1,茭白筍-帶殼,104,台北二,92.7,78.5,54.6,76.6,2034
107.09.11,SQ3,茭白筍-去殼,104,台北二,188.5,134.6,65.7,131.6,1300
107.09.11,SR1,菱角-生菱角,104,台北二,45,42.6,40,42.6,35
107.09.11,SU2,薯蕷-白薯蕷,104,台北二,46.4,32.1,18.1,32.1,1350
107.09.11,SU3,薯蕷-樹薯,104,台北二,25,20.8,20,21.5,85
107.09.11,SU9,薯蕷-進口,104,台北二,150,132.8,89.7,127.6,160
107.09.11,SV1,蘆筍-白蘆筍,104,台北二,173.1,90.3,65.1,101.8,36
107.09.11,SV2,蘆筍-綠蘆筍,104,台北二,200,147.9,100,148.7,66
107.09.11,SV3,蘆筍-蘆筍花,104,台北二,180,175.8,170,175.5,11
107.09.11,SV9,蘆筍-進口,104,台北二,206.1,159.5,147.1,166.3,765
107.09.11,SX1,芽菜類-綠豆芽,104,台北二,12.6,12,12,12.1,1820
107.09.11,SX2,芽菜類-黃豆牙,104,台北二,21.2,20,20,20.2,210
107.09.11,SX3,芽菜類-豌豆嬰,104,台北二,71.3,65.9,50,63.8,148
